ID,measured,LOO_modeled,sigma,DL
6199,1.48,1.286873,0.41915,0
6200,1.46,1.455221,0.41915,0
6201,0.52,0.414221,0.419151,0
6202,1.56,1.212018,0.41915,0
6203,0.23,0.420521,0.419145,0
6204,0.25,0.471136,0.419147,0
6205,0.68,0.361038,0.419147,0
6216,0.54,0.544744,0.419151,0
6223,0.75,0.870572,0.419151,0
6212,0.46,0.478853,0.419151,0
6235,1.27,0.939701,0.419149,0
6228,1.01,0.787079,0.41915,0
6220,0.7,0.68491,0.419151,0
6210,0.33,0.479254,0.419148,0
6233,1.14,1.124652,0.419151,0
6229,1.02,0.833193,0.41915,0
6225,0.86,0.914669,0.419151,0
6221,0.71,0.797421,0.419151,0
6218,0.63,0.564805,0.419151,0
6214,0.48,0.641668,0.419149,0
6211,0.37,0.479977,0.41915,0
6237,1.61,1.106523,0.419148,0
6234,1.14,1.082366,0.419151,0
6232,1.09,1.021011,0.419151,0
6230,1.06,0.925389,0.419151,0
6227,0.95,0.893602,0.419151,0
6226,0.93,1.012106,0.419151,0
6224,0.8,0.771341,0.419151,0
6222,0.73,0.680688,0.419151,0
6236,1.46,1.167721,0.41915,0
6219,0.64,0.6318,0.419151,0
6217,0.59,0.70849,0.41915,0
6215,0.5,0.552102,0.419151,0
6213,0.46,0.624914,0.419149,0
6231,1.08,1.036299,0.419151,0
6238,0.1,0.086693,0.419151,0
6239,0.02,0.088057,0.419116,0
6240,0.02,0.087766,0.419113,0
6242,0.11,0.079653,0.419149,0
6243,0.14,0.100713,0.41915,0
6244,0.19,0.082418,0.419139,0
6245,0.27,0.102734,0.419134,0
6241,0.11,0.095872,0.419151,0
6246,0.07,0.365308,0.419124,0
6247,0.55,0.105798,0.419123,0
6252,0.21,0.187094,0.419149,0
6254,0.54,0.571569,0.419149,0
6256,0.6,0.548348,0.419149,0
6257,0.6,0.536456,0.419151,0
6255,0.55,0.555209,0.419152,0
6253,0.31,0.445984,0.419148,0
6259,0.33,0.176653,0.419146,0
6261,0.77,0.347999,0.419145,0
6260,0.13,0.364466,0.419139,0
6264,0.79,0.520227,0.419149,0
6263,0.32,0.486141,0.41915,0
6266,0.29,0.139373,0.419146,0
6267,0.37,0.768103,0.419146,0
6270,0.09,0.210562,0.419143,0
6272,0.5,0.130777,0.419136,0
6271,0.14,0.123017,0.419149,0
6269,0.09,0.106636,0.419149,0
6274,0.74,0.710108,0.419151,0
6273,0.56,0.583582,0.419152,0
6276,0.47,0.477363,0.419152,0
6277,0.65,0.63998,0.419151,0
6278,0.41,0.519727,0.419151,0
6279,0.82,0.647,0.41915,0
6280,0.16,0.156251,0.419152,0
6281,0.23,0.235508,0.419151,0
6282,0.42,0.644421,0.419149,0
6283,0.52,0.338842,0.41915,0
6285,1.65,2.273675,0.419149,0
6286,1.27,1.505433,0.41915,0
6287,1.38,1.905181,0.419149,0
6288,0.66,0.441364,0.419149,0
6289,1.75,1.410532,0.41915,0
6290,0.48,0.496609,0.419152,0
6291,0.26,0.256938,0.419151,0
6292,0.12,0.170479,0.41915,0
6293,0.26,0.181117,0.419149,0
6294,0.7,0.514848,0.41915,0
6295,1.08,1.468,0.419149,0
6299,0.64,0.845086,0.419149,0
6300,0.64,0.484626,0.419151,0
6304,0.96,0.754007,0.41915,0
6303,0.54,0.687605,0.419151,0
6307,0.82,0.652775,0.419149,0
6311,1.03,0.677779,0.419148,0
6309,0.9,0.832805,0.419149,0
6305,0.63,0.453614,0.419148,0
6312,1.11,0.815364,0.419148,0
6310,0.99,0.536151,0.419146,0
6308,0.88,0.498001,0.419146,0
6306,0.74,0.700948,0.419149,0
6328,0.59,0.66972,0.419149,0
6316,0.35,0.458647,0.419149,0
6345,0.85,0.691953,0.419149,0
6321,0.46,0.651478,0.419148,0
6355,1.33,1.001073,0.419148,0
6335,0.67,0.720126,0.419149,0
6318,0.4,0.534798,0.419148,0
6350,1.03,0.988848,0.419149,0
6341,0.76,0.702748,0.419149,0
6332,0.63,0.761696,0.419149,0
6340,0.76,0.539451,0.419148,0
6320,0.43,0.682241,0.419147,0
6352,1.05,0.612499,0.419147,0
6314,0.29,0.543711,0.419146,0
6358,1.48,1.11841,0.419148,0
6353,1.3,1.170603,0.419149,0
6347,0.93,1.000661,0.419149,0
6343,0.8,0.705184,0.419149,0
6338,0.7,0.85101,0.419149,0
6333,0.63,0.677326,0.419149,0
6330,0.61,0.618833,0.419149,0
6326,0.55,0.697681,0.419149,0
6323,0.48,0.746243,0.419147,0
6348,0.96,0.736513,0.419149,0
6319,0.41,0.518553,0.419149,0
6317,0.35,0.59573,0.419147,0
6356,1.37,1.033048,0.419148,0
6315,0.32,0.49082,0.419148,0
6313,0.27,0.613479,0.419143,0
6357,1.4,0.743907,0.419146,0
6354,1.31,0.857739,0.419148,0
6351,1.04,0.89819,0.419149,0
6349,0.97,0.687141,0.419148,0
6346,0.9,0.867257,0.419149,0
6344,0.84,0.720192,0.419149,0
6342,0.76,0.702748,0.419149,0
6339,0.74,0.736969,0.419149,0
6337,0.7,0.706969,0.419149,0
6334,0.65,0.816137,0.419149,0
6336,0.7,0.682128,0.419149,0
6331,0.61,0.73648,0.419149,0
6329,0.6,0.690316,0.419149,0
6327,0.58,0.804617,0.419148,0
6325,0.5,0.577945,0.419149,0
6324,0.49,0.621405,0.419149,0
6322,0.47,0.621895,0.419149,0
6360,0.85,0.440564,0.419147,0
6359,0.32,0.617644,0.419147,0
6363,0.5,0.660562,0.41915,0
6364,0.66,0.735573,0.419151,0
6365,0.2,0.304331,0.419148,0
6366,0.83,0.45195,0.419145,0
6367,0.39,0.308886,0.41915,0
6370,0.66,0.402802,0.419149,0
6369,0.6,0.982801,0.419149,0
6371,0.29,0.176855,0.419148,0
6372,0.39,0.121191,0.419135,0
6373,0.02,0.134611,0.419113,0
6374,0.26,0.335115,0.419151,0
6375,0.26,0.200491,0.419149,0
6376,0.66,0.591458,0.419151,0
6379,0.8,0.739231,0.41915,0
6378,0.47,0.508667,0.419152,0
